date,temp_avg,temp_max,temp_min,precip_sum,station,de_martonne,aridity_class,aridity_code,spi3,dm_lag1,dm_lag2,dm_lag3,precip_roll3,temp_roll3,dm_roll3,dm_roll12,month,year,year_trend,month_sin,month_cos,wet_season
2016-02-01,9.86,25.33,-2.75,50.6,Ammik,30.57401812688822,Humid,4,0.07532974818700443,163.18725099601596,53.30079316656497,11.792538671519566,109.39999999999999,7.103333333333333,82.35402076315638,26.248161316632608,2,2016,1,0.8660254037844386,0.5000000000000001,1
2016-03-01,11.47,26.59,-1.43,123.4,Ammik,68.9706567303214,Humid,4,0.15259653896224787,30.57401812688822,163.18725099601596,53.30079316656497,126.26666666666667,8.796666666666667,87.57730861774185,30.9515015568593,3,2016,1,1.0,6.123233995736766e-17,1
2016-04-01,16.33,31.96,1.63,29.8,Ammik,13.58146600835549,Semi-arid,2,-0.11463050423276387,68.9706567303214,30.57401812688822,163.18725099601596,67.93333333333334,12.553333333333333,37.70871362185503,30.142399345454425,4,2016,1,0.8660254037844387,-0.4999999999999998,1
2016-05-01,17.79,36.7,3.45,20.0,Ammik,8.636200071968334,Arid,1,-0.16135706150000592,13.58146600835549,68.9706567303214,30.57401812688822,57.73333333333334,15.196666666666667,30.396107603548405,30.649993607372608,5,2016,1,0.49999999999999994,-0.8660254037844387,1
2016-06-01,23.25,40.93,6.28,0.0,Ammik,0.0,Hyper-arid,0,-0.3497903022443742,8.636200071968334,13.58146600835549,68.9706567303214,16.599999999999998,19.123333333333335,7.405888693441274,30.649993607372608,6,2016,1,1.2246467991473532e-16,-1.0,0
2016-07-01,24.79,40.98,8.94,0.0,Ammik,0.0,Hyper-arid,0,-0.39529525017129624,0.0,8.636200071968334,13.58146600835549,6.666666666666667,21.94333333333333,2.878733357322778,30.446386859263242,7,2016,1,-0.4999999999999997,-0.8660254037844388,0
2016-08-01,25.14,41.86,9.2,0.0,Ammik,0.0,Hyper-arid,0,-0.4258354836792976,0.0,0.0,8.636200071968334,0.0,24.393333333333334,0.0,30.446386859263242,8,2016,1,-0.8660254037844385,-0.5000000000000004,0
2016-09-01,21.1,36.56,5.72,0.8,Ammik,0.3086816720257235,Hyper-arid,0,-0.4246138743389775,0.0,0.0,0.0,0.26666666666666666,23.676666666666666,0.10289389067524117,30.472110331932054,9,2016,1,-1.0,-1.8369701987210297e-16,0
2016-10-01,17.61,34.12,4.88,0.4,Ammik,0.17385005432814202,Hyper-arid,0,-0.4240030696688175,0.3086816720257235,0.0,0.0,0.4000000000000001,21.283333333333335,0.16084390878462185,29.21045462483232,10,2016,1,-0.8660254037844386,0.5000000000000001,1
2016-11-01,11.29,27.45,-6.92,27.6,Ammik,15.556599342414282,Semi-arid,2,-0.3818575474277756,0.17385005432814202,0.3086816720257235,0.0,9.6,16.666666666666668,5.346377022922716,29.524126347406874,11,2016,1,-0.5000000000000004,0.8660254037844384,1
2016-12-01,5.42,18.1,-3.86,50.0,Ammik,38.91050583657587,Humid,4,-0.3067285729980923,15.556599342414282,0.17385005432814202,0.3086816720257235,26.0,11.44,18.21365174443943,28.32493573657445,12,2016,1,-2.4492935982947064e-16,1.0,1
2017-01-01,4.82,17.43,-9.6,11.2,Ammik,9.068825910931173,Arid,1,-0.2902368469037716,38.91050583657587,15.556599342414282,0.17385005432814202,29.599999999999998,7.176666666666667,21.178643696640442,15.48173364615072,1,2017,2,0.49999999999999994,0.8660254037844387,1
2017-02-01,5.95,22.95,-5.65,5.6,Ammik,4.213166144200627,Hyper-arid,0,-0.32383110376257307,9.068825910931173,38.91050583657587,15.556599342414282,22.266666666666666,5.396666666666668,17.397499297235893,13.284995980926752,2,2017,2,0.8660254037844386,0.5000000000000001,1
2017-03-01,10.33,24.89,0.7,20.0,Ammik,11.805213969503198,Semi-arid,2,-0.3696414540245751,4.213166144200627,9.068825910931173,38.91050583657587,12.266666666666666,7.033333333333334,8.362402008211665,8.521209084191904,3,2017,2,1.0,6.123233995736766e-17,1
2017-04-01,14.81,32.29,0.49,14.4,Ammik,6.964933494558646,Arid,1,-0.3647550166632949,11.805213969503198,4.213166144200627,9.068825910931173,13.333333333333334,10.363333333333335,7.661104536087492,7.969831374708833,4,2017,2,0.8660254037844387,-0.4999999999999998,1
2017-05-01,18.5,35.85,4.11,6.0,Ammik,2.526315789473684,Hyper-arid,0,-0.36414421199313485,6.964933494558646,11.805213969503198,4.213166144200627,13.466666666666667,14.546666666666667,7.098821084511843,7.460674351167612,5,2017,2,0.49999999999999994,-0.8660254037844387,1
2017-06-01,22.12,39.49,6.56,1.2,Ammik,0.44831880448318795,Hyper-arid,0,-0.39285203149065606,2.526315789473684,6.964933494558646,11.805213969503198,7.199999999999999,18.47666666666667,3.313189362838506,7.498034251541211,6,2017,2,1.2246467991473532e-16,-1.0,0
2017-07-01,26.26,42.54,9.92,0.0,Ammik,0.0,Hyper-arid,0,-0.4148409996164171,0.44831880448318795,2.526315789473684,6.964933494558646,2.399999999999999,22.293333333333337,0.9915448646522907,7.498034251541211,7,2017,2,-0.4999999999999997,-0.8660254037844388,0
2017-08-01,24.16,42.13,8.24,0.0,Ammik,0.0,Hyper-arid,0,-0.4240030696688175,0.0,0.44831880448318795,2.526315789473684,0.3999999999999988,24.180000000000003,0.14943960149439597,7.498034251541211,8,2017,2,-0.8660254037844385,-0.5000000000000004,0
2017-09-01,22.45,41.0,1.47,0.0,Ammik,0.0,Hyper-arid,0,-0.4258354836792976,0.0,0.0,0.44831880448318795,0.0,24.290000000000003,0.0,7.472310778872401,9,2017,2,-1.0,-1.8369701987210297e-16,0
2017-10-01,16.61,32.1,4.4,10.4,Ammik,4.689966178128524,Hyper-arid,0,-0.4099545622551369,0.0,0.0,0.0,3.4666666666666655,21.073333333333334,1.5633220593761745,7.8486537891890995,10,2017,2,-0.8660254037844386,0.5000000000000001,1
2017-11-01,11.66,26.84,1.41,16.4,Ammik,9.085872576177284,Arid,1,-0.38491157077857574,4.689966178128524,0.0,0.0,8.933333333333332,16.90666666666667,4.591946251435269,7.30942655866935,11,2017,2,-0.5000000000000004,0.8660254037844384,1
2017-12-01,8.81,25.6,-2.82,26.4,Ammik,16.84210526315789,Semi-arid,2,-0.344598462548014,9.085872576177284,4.689966178128524,0.0,17.73333333333333,12.360000000000001,10.205981339154567,5.470393177551185,12,2017,2,-2.4492935982947064e-16,1.0,1
2018-01-01,6.35,19.02,-2.97,47.6,Ammik,34.93577981651376,Humid,4,-0.2877936282231315,16.84210526315789,9.085872576177284,4.689966178128524,30.133333333333336,8.940000000000001,20.287919218616313,7.625972669683066,1,2018,3,0.49999999999999994,0.8660254037844387,1
2018-02-01,9.57,24.21,-1.54,21.2,Ammik,12.999489013796627,Semi-arid,2,-0.2804639721812112,34.93577981651376,16.84210526315789,9.085872576177284,31.73333333333333,8.243333333333334,21.592458031156088,8.3581662421494,2,2018,3,0.8660254037844386,0.5000000000000001,1
2018-03-01,12.66,30.51,-0.19,7.6,Ammik,4.024713150926742,Hyper-arid,0,-0.30917179167873243,12.999489013796627,34.93577981651376,16.84210526315789,25.46666666666667,9.526666666666669,17.319993993745708,7.709791173934694,3,2018,3,1.0,6.123233995736766e-17,1
2018-04-01,15.21,31.87,0.93,21.2,Ammik,10.091233637445457,Semi-arid,2,-0.3494848999092942,4.024713150926742,12.999489013796627,34.93577981651376,16.666666666666668,12.480000000000002,9.038478600722941,7.970316185841931,4,2018,3,0.8660254037844387,-0.4999999999999998,1
2018-05-01,19.33,36.65,5.83,19.6,Ammik,8.019093078758951,Arid,1,-0.35192811858993434,10.091233637445457,4.024713150926742,12.999489013796627,16.133333333333336,15.733333333333334,7.378346622377049,8.428047626615703,5,2018,3,0.49999999999999994,-0.8660254037844387,1
2018-06-01,21.72,38.19,8.87,7.6,Ammik,2.8751576292559897,Hyper-arid,0,-0.35192811858993434,8.019093078758951,10.091233637445457,4.024713150926742,16.133333333333333,18.753333333333334,6.995161448486798,8.63028419534677,6,2018,3,1.2246467991473532e-16,-1.0,0
2018-07-01,24.73,38.08,9.37,2.0,Ammik,0.6910452058738842,Hyper-arid,0,-0.3812467427576156,2.8751576292559897,8.019093078758951,10.091233637445457,9.733333333333334,21.926666666666666,3.8617653046296083,8.687871295836258,7,2018,3,-0.4999999999999997,-0.8660254037844388,0
2018-08-01,23.93,39.8,11.47,0.0,Ammik,0.0,Hyper-arid,0,-0.4111761715954569,0.6910452058738842,2.8751576292559897,8.019093078758951,3.200000000000001,23.460000000000004,1.1887342783766246,8.687871295836258,8,2018,3,-0.8660254037844385,-0.5000000000000004,0
2018-09-01,22.23,40.67,9.94,0.0,Ammik,0.0,Hyper-arid,0,-0.42278146032849745,0.0,0.6910452058738842,2.8751576292559897,0.6666666666666679,23.630000000000006,0.23034840195796139,8.687871295836258,9,2018,3,-1.0,-1.8369701987210297e-16,0
2018-10-01,17.23,35.05,1.85,69.6,Ammik,30.672052882849794,Humid,4,-0.3195554710714529,0.0,0.0,0.6910452058738842,23.2,21.13,10.224017627616599,10.853045187896365,10,2018,3,-0.8660254037844386,0.5000000000000001,1
2018-11-01,11.45,26.78,2.02,56.0,Ammik,31.32867132867133,Humid,4,-0.23404281724904916,30.672052882849794,0.0,0.0,41.86666666666667,16.970000000000002,20.66690807050704,12.706611750604202,11,2018,3,-0.5000000000000004,0.8660254037844384,1
2018-12-01,8.06,18.03,-1.7,113.6,Ammik,75.4817275747508,Humid,4,-0.06057429092360154,31.32867132867133,30.672052882849794,0.0,79.73333333333333,12.24666666666667,45.82748392875731,17.593246943236945,12,2018,3,-2.4492935982947064e-16,1.0,1
2019-01-01,5.3,19.73,-4.5,142.8,Ammik,112.0,Humid,4,0.05120296371568336,75.4817275747508,31.32867132867133,30.672052882849794,104.13333333333333,8.270000000000001,72.93679963447404,24.0152652918608,1,2019,4,0.49999999999999994,0.8660254037844387,1
